position,T,heat_flux
0.000000,600.000000,211388.880316
0.000250,599.777016,211388.880316
0.000500,599.554062,211360.151261
0.000750,599.331139,211330.863377
0.001000,599.108247,211302.176207
0.001250,598.885386,211272.350439
0.001500,598.662555,211243.705148
0.001750,598.439756,211213.341500
0.002000,598.216987,211184.738081
0.002250,597.994251,211153.836564
0.002500,597.771545,211125.275011
0.002750,597.548872,211093.835639
0.003000,597.326229,211065.315945
0.003250,597.103620,211033.338739
0.003500,596.881041,211004.860898
0.003750,596.658497,210972.345884
0.004000,596.435982,210943.909889
0.004250,596.213502,210910.857097
0.004500,595.991052,210882.462941
0.004750,595.768638,210848.872409
0.005000,595.546254,210820.520085
0.005250,595.323905,210786.391854
0.005500,595.101586,210758.081354
0.005750,594.879304,210723.415471
0.006000,594.657052,210695.146789
0.006250,594.434837,210659.943307
0.006500,594.212652,210631.716436
0.006750,593.990504,210595.975411
0.007000,593.768386,210567.790342
0.007250,593.546306,210531.511839
0.007500,593.324256,210503.368566
0.007750,593.102245,210466.552651
0.008000,592.880264,210438.451166
0.008250,592.658322,210401.097915
0.008500,592.436409,210373.038209
0.008750,592.214537,210335.147700
0.009000,591.992694,210307.129765
0.009250,591.770891,210268.702083
0.009500,591.549118,210240.725912
0.009750,591.327387,210201.761145
0.010000,591.105684,210173.826730
0.010250,590.884023,210134.324974
0.010500,590.662392,210106.432306
0.010750,590.440803,210066.393661
0.011000,590.219244,210038.542732
0.011250,589.997727,209997.967303
0.011500,589.776239,209970.158104
0.011750,589.554795,209929.046002
0.012000,589.333380,209901.278525
0.012250,589.112009,209859.629866
0.012500,588.890668,209831.904102
0.012750,588.669370,209789.719008
0.013000,588.448102,209762.034947
0.013250,588.226880,209719.313544
0.013500,588.005686,209691.671179
0.013750,587.784538,209648.413599
0.014000,587.563419,209620.812920
0.014250,587.342346,209577.019299
0.014500,587.121302,209549.460297
0.014750,586.900305,209505.130779
0.015000,586.679337,209477.613446
0.015250,586.458417,209432.748177
0.015500,586.237525,209405.272502
0.015750,586.016681,209359.871637
0.016000,585.795866,209332.437610
0.016250,585.575100,209286.501307
