position,T,heat_flux
0.016500,585.354363,209259.108920
0.016750,585.133674,209212.637342
0.017000,584.913015,209185.286584
0.017250,584.692405,209138.279900
0.017500,584.471823,209110.970761
0.017750,584.251292,209063.429145
0.018000,584.030790,209036.161616
0.018250,583.810339,208988.085248
0.018500,583.589916,208960.859319
0.018750,583.369544,208912.248383
0.019000,583.149201,208885.064042
0.019250,582.928910,208835.918729
0.019500,582.708648,208808.775967
0.019750,582.488438,208759.096471
0.020000,582.268256,208731.995278
0.020250,582.048128,208681.781800
0.020500,581.828028,208654.722165
0.020750,581.607982,208603.974910
0.021000,581.387964,208576.956822
0.021250,581.168000,208525.676002
0.021500,580.948065,208498.699451
0.021750,580.728184,208446.885281
0.022000,580.508332,208419.950256
0.022250,580.288535,208367.602958
0.022500,580.068766,208340.709447
0.022750,579.849053,208287.829248
0.023000,579.629368,208260.977241
0.023250,579.409740,208207.564373
0.023500,579.190140,208180.753858
0.023750,578.970597,208126.808558
0.024000,578.751082,208100.039523
0.024250,578.531625,208045.562033
0.024500,578.312196,208018.834469
0.024750,578.092825,207963.825036
0.025000,577.873482,207937.138930
0.025250,577.654197,207881.597808
0.025500,577.434941,207854.953147
0.025750,577.215744,207798.880594
0.026000,576.996575,207772.277368
0.026250,576.777466,207715.673646
0.026500,576.558384,207689.111844
0.026750,576.339363,207631.977221
0.027000,576.120370,207605.456829
0.027250,575.901438,207547.791581
0.027500,575.682533,207521.312588
0.027750,575.463690,207463.116992
0.028000,575.244875,207436.679385
0.028250,575.026122,207377.953725
0.028500,574.807397,207351.557493
0.028750,574.588734,207292.302059
0.029000,574.370099,207265.947187
0.029250,574.151527,207206.162274
0.029500,573.932983,207179.848752
0.029750,573.714503,207119.534658
0.030000,573.496050,207093.262472
0.030250,573.277661,207032.419502
0.030500,573.059300,207006.188640
0.030750,572.841004,206944.817104
0.031000,572.622735,206918.627553
0.031250,572.404532,206856.727766
0.031500,572.186356,206830.579513
0.031750,571.968247,206768.151795
0.032000,571.750164,206742.044827
0.032250,571.532148,206679.089504
0.032500,571.314160,206653.023808
0.032750,571.096238,206589.541210
0.033000,570.878344,206563.516772
0.033250,570.660518,206499.507235
0.033500,570.442719,206473.524041
0.033750,570.224988,206408.987906
0.034000,570.007284,206383.045944
0.034250,569.789649,206317.983556
0.034500,569.572042,206292.082811
0.034750,569.354503,206226.494523
0.035000,569.136992,206200.634982
0.035250,568.919550,206134.521148
0.035500,568.702136,206108.702796
0.035750,568.484792,206042.063779
0.036000,568.267475,206016.286603
0.036250,568.050230,205949.122769
0.036500,567.833011,205923.386754
0.036750,567.615863,205855.698474
0.037000,567.398743,205830.003607
0.037250,567.181695,205761.791258
0.037500,566.964674,205736.137524
0.037750,566.747725,205667.401487
0.038000,566.530803,205641.788872
0.038250,566.313954,205572.529534
0.038500,566.097133,205546.958023
0.038750,565.880385,205477.175777
0.039000,565.663664,205451.645355
0.039250,565.447017,205381.340597
0.039500,565.230397,205355.851250
0.039750,565.013851,205285.024382
0.040000,564.797333,205259.576095
0.040250,564.580889,205188.227524
0.040500,564.364473,205162.820282
0.040750,564.148132,205090.950420
0.041000,563.931818,205065.584207
0.041250,563.715581,204993.193472
0.041500,563.499370,204967.868274
0.041750,563.283236,204894.957088
0.042000,563.067129,204869.672889
0.042250,562.851099,204796.241678
0.042500,562.635096,204770.998463
0.042750,562.419171,204697.047661
0.043000,562.203272,204671.845413
0.043250,561.987452,204597.375457
0.043500,561.771659,204572.214162
0.043750,561.555944,204497.225494
0.044000,561.340256,204472.105135
0.044250,561.124648,204396.598202
0.044500,560.909066,204371.518764
0.044750,560.693565,204295.494019
0.045000,560.478090,204270.455486
0.045250,560.262695,204193.913386
0.045500,560.047327,204168.915741
0.045750,559.832040,204091.856749
0.046000,559.616780,204066.899976
0.046250,559.401601,203989.324558
0.046500,559.186449,203964.408642
0.046750,558.971379,203886.317271
0.047000,558.756335,203861.442195
0.047250,558.541374,203782.835347
0.047500,558.326440,203758.001094
0.047750,558.111589,203678.879253
0.048000,557.896764,203654.085807
0.048250,557.682023,203574.449459
0.048500,557.467308,203549.696802
0.048750,557.252678,203469.546440
0.049000,557.038073,203444.834556
0.049250,556.823554,203364.170676
0.049500,556.609061,203339.499548
0.049750,556.394653,203258.322652
0.050000,556.180272,203233.692264
0.050250,555.965977,203152.002859
0.050500,555.751707,203127.413192
0.050750,555.537524,203045.211790
0.051000,555.323368,203020.662828
0.051250,555.109298,202937.949945
0.051500,554.895254,202913.441670
0.051750,554.681298,202830.217828
0.052000,554.467368,202805.750223
0.052250,554.253527,202722.015949
0.052500,554.039710,202697.588996
0.052750,553.825983,202613.344820
0.053000,553.612282,202588.958501
0.053250,553.398670,202504.204960
0.053500,553.185084,202479.859258
0.053750,552.971587,202394.596893
0.054000,552.758116,202370.291789
0.054250,552.544736,202284.521146
0.054500,552.331381,202260.256623
0.054750,552.118118,202173.978253
0.055000,551.904880,202149.754291
0.055250,551.691733,202062.968749
0.055500,551.478612,202038.785332
0.055750,551.265583,201951.493179
0.056000,551.052579,201927.350287
0.056250,550.839668,201839.552087
0.056500,550.626783,201815.449704
0.056750,550.413991,201727.146027
0.057000,550.201224,201703.084132
0.057250,549.988550,201614.275554
0.057500,549.775902,201590.254129
0.057750,549.563349,201500.941230
0.058000,549.350820,201476.960255
0.058250,549.138386,201387.143618
0.058500,548.925978,201363.203076
0.058750,548.713665,201272.883291
0.059000,548.501377,201248.983163
0.059250,548.289185,201158.160823
0.059500,548.077018,201134.301089
0.059750,547.864947,201042.976794
0.060000,547.652902,201019.157434
0.060250,547.440953,200927.331787
0.060500,547.229029,200903.552782
0.060750,547.017203,200811.226391
0.061000,546.805402,200787.487723
0.061250,546.593699,200694.661201
0.061500,546.382021,200670.962849
0.061750,546.170441,200577.636814
0.062000,545.958886,200553.978758
0.062250,545.747430,200460.153832
0.062500,545.535999,200436.536054
0.062750,545.324668,200342.212863
0.063000,545.113361,200318.635342
0.063250,544.902155,200223.814518
0.063500,544.690973,200200.277235
0.063750,544.479892,200104.959415
0.064000,544.268835,200081.462349
0.064250,544.057880,199985.648174
0.064500,543.846949,199962.191305
0.064750,543.636120,199865.881420
0.065000,543.425316,199842.464729
0.065250,543.214614,199745.659784
0.065500,543.003936,199722.283250
0.065750,542.793362,199624.983901
0.066000,542.582811,199601.647502
0.066250,542.372364,199503.854408
0.066500,542.161942,199480.558125
0.066750,541.951623,199382.271951
0.067000,541.741328,199359.015763
0.067250,541.531138,199260.237176
0.067500,541.320973,199237.021062
0.067750,541.110912,199137.750737
0.068000,540.900875,199114.574677
0.068250,540.690944,199014.813291
0.068500,540.481037,198991.677263
0.068750,540.271236,198891.425499
0.069000,540.061459,198868.329483
0.069250,539.851789,198767.588028
0.069500,539.642143,198744.532001
0.069750,539.432603,198643.301547
0.070000,539.223088,198620.285489
0.070250,539.013681,198518.566732
0.070500,538.804297,198495.590621
0.070750,538.595021,198393.384262
0.071000,538.385770,198370.448077
0.071250,538.176627,198267.754821
0.071500,537.967508,198244.858540
0.071750,537.758497,198141.679097
0.072000,537.549511,198118.822698
0.072250,537.340635,198015.157782
0.072500,537.131782,197992.341244
0.072750,536.923039,197888.191574
0.073000,536.714320,197865.414874
0.073250,536.505712,197760.781173
0.073500,536.297127,197738.044290
0.073750,536.088654,197632.927285
0.074000,535.880204,197610.230196
0.074250,535.671866,197504.630622
0.074500,535.463552,197481.973305
0.074750,535.255349,197375.891895
0.075000,535.047171,197353.274328
0.075250,534.839105,197246.711825
0.075500,534.631062,197224.133986
0.075750,534.423133,197117.091135
0.076000,534.215227,197094.553000
0.076250,534.007435,196987.030552
0.076500,533.799666,196964.532098
0.076750,533.592012,196856.530806
0.077000,533.384381,196834.072013
0.077250,533.176865,196725.592635
0.077500,532.969372,196703.173478
0.077750,532.761994,196594.216778
0.078000,532.554640,196571.837235
0.078250,532.347401,196462.403980
0.078500,532.140186,196440.064028
0.078750,531.933086,196330.154989
0.079000,531.726010,196307.854605
0.079250,531.519051,196197.470559
0.079500,531.312115,196175.209720
0.079750,531.105296,196064.351447
0.080000,530.898501,196042.130128
0.080250,530.691823,195930.798413
0.080500,530.485168,195908.616592
0.080750,530.278631,195796.812223
0.081000,530.072118,195774.669877
0.081250,529.865723,195662.393648
0.081500,529.659351,195640.290752
0.081750,529.453099,195527.543460
0.082000,529.246869,195505.479991
0.082250,529.040759,195392.262439
0.082500,528.834673,195370.238372
0.082750,528.628706,195256.551366
0.083000,528.422762,195234.566678
0.083250,528.216939,195120.411028
0.083500,528.011139,195098.465695
0.083750,527.805460,194983.842215
0.084000,527.599804,194961.936213
0.084250,527.394269,194846.845721
0.084500,527.188757,194824.979026
0.084750,526.983368,194709.422346
0.085000,526.778001,194687.594933
0.085250,526.572757,194571.572892
0.085500,526.367536,194549.784737
0.085750,526.162437,194433.298166
0.086000,525.957362,194411.549245
0.086250,525.752410,194294.598980
0.086500,525.547480,194272.889267
0.086750,525.342675,194155.476147
0.087000,525.137892,194133.805618
0.087250,524.933234,194015.930487
0.087500,524.728599,193994.299118
0.087750,524.524088,193875.962824
0.088000,524.319601,193854.370589
0.088250,524.115238,193735.573983
0.088500,523.910899,193714.020858
0.088750,523.706685,193594.764798
0.089000,523.502494,193573.250755
0.089250,523.298429,193453.536101
0.089500,523.094386,193432.061118
0.089750,522.890471,193311.888733
0.090000,522.686578,193290.452783
0.090250,522.482812,193169.823536
0.090500,522.279069,193148.426594
0.090750,522.075454,193027.341357
0.091000,521.871861,193005.983399
0.091250,521.668397,192884.443047
0.091500,521.464954,192863.124046
0.091750,521.261641,192741.129462
0.092000,521.058350,192719.849392
0.092250,520.855188,192597.401459
0.092500,520.652049,192576.160296
0.092750,520.449039,192453.259902
0.093000,520.246052,192432.057618
0.093250,520.043194,192308.705656
0.093500,519.840359,192287.542226
0.093750,519.637655,192163.739593
0.094000,519.434973,192142.614991
0.094250,519.232422,192018.362586
0.094500,519.029893,191997.276785
0.094750,518.827496,191872.575514
0.095000,518.625121,191851.528488
0.095250,518.422878,191726.379258
0.095500,518.220657,191705.370981
0.095750,518.018569,191579.774704
0.096000,517.816502,191558.805149
0.096250,517.614569,191432.762742
0.096500,517.412658,191411.831882
0.096750,517.210880,191285.344264
0.097000,517.009124,191264.452074
0.097250,516.807502,191137.520169
0.097500,516.605903,191116.666621
0.097750,516.404437,190989.291356
0.098000,516.202994,190968.476424
0.098250,516.001685,190840.658731
0.098500,515.800398,190819.882388
0.098750,515.599247,190691.623201
0.099000,515.398117,190670.885420
0.099250,515.197123,190542.185678
0.099500,514.996151,190521.486432
0.099750,514.795315,190392.347080
0.100000,514.594501,190371.686341
0.100250,514.393824,190242.108324
0.100500,514.193168,190221.486065
0.100750,513.992650,190091.470334
0.101000,513.792153,190070.886528
0.101250,513.591794,189940.434037
0.101500,513.391457,189919.888656
0.101750,513.191257,189789.000363
0.102000,512.991080,189768.493380
0.102250,512.791040,189637.170245
0.102500,512.591023,189616.701633
0.102750,512.391144,189484.944623
0.103000,512.191287,189464.514353
0.103250,511.991569,189332.324437
0.103500,511.791873,189311.932482
0.103750,511.592317,189179.310631
0.104000,511.392782,189158.956963
0.104250,511.193388,189025.904155
0.104500,510.994015,189005.588745
0.104750,510.794783,188872.105961
0.105000,510.595572,188851.828781
0.105250,510.396502,188717.917003
0.105500,510.197454,188697.678025
0.105750,509.998548,188563.338241
0.106000,509.799662,188543.137437
0.106250,509.600919,188408.370637
0.106500,509.402198,188388.207978
0.106750,509.203619,188253.015158
0.107000,509.005061,188232.890616
0.107250,508.806646,188097.272773
0.107500,508.608252,188077.186320
0.107750,508.410002,187941.144455
0.108000,508.211773,187921.096062
0.108250,508.013688,187784.631181
0.108500,507.815624,187764.620819
0.108750,507.617705,187627.733930
0.109000,507.419806,187607.761571
0.109250,507.222052,187470.453687
0.109500,507.024320,187450.519300
0.109750,506.826732,187312.791437
0.110000,506.629166,187292.894994
0.110250,506.431745,187154.748171
0.110500,506.234346,187134.889644
0.110750,506.037092,186996.324882
0.111000,505.839860,186976.504241
0.111250,505.642774,186837.522568
0.111500,505.445709,186817.739784
0.111750,505.248790,186678.342228
0.112000,505.051893,186658.597272
0.112250,504.855143,186518.784867
0.112500,504.658414,186499.077708
0.112750,504.461833,186358.851491
0.113000,504.265273,186339.182101
0.113250,504.068861,186198.543110
0.113500,503.872470,186178.911459
0.113750,503.676227,186037.860739
0.114000,503.480006,186018.266796
0.114250,503.283933,185876.805393
0.114500,503.087881,185857.249130
0.114750,502.891979,185715.378093
0.115000,502.696097,185695.859479
0.115250,502.500365,185553.579862
0.115500,502.304654,185534.098868
0.115750,502.109094,185391.411727
0.116000,501.913554,185371.968323
0.116250,501.718165,185228.874717
0.116500,501.522796,185209.468872
0.116750,501.327579,185065.969866
0.117000,501.132382,185046.601550
0.117250,500.937337,184902.698210
0.117500,500.742312,184883.367392
0.117750,500.547440,184739.060787
0.118000,500.352588,184719.767438
0.118250,500.157888,184575.058641
0.118500,499.963209,184555.802730
0.118750,499.768683,184410.692817
0.119000,499.574177,184391.474312
0.119250,499.379825,184245.964363
0.119500,499.185493,184226.783235
0.119750,498.991315,184080.874332
0.120000,498.797157,184061.730550
0.120250,498.603153,183915.423778
0.120500,498.409170,183896.317311
0.120750,498.215341,183749.613759
0.121000,498.021533,183730.544577
0.121250,497.827879,183583.445337
0.121500,497.634246,183564.413407
0.121750,497.440768,183416.919575
0.122000,497.247310,183397.924867
0.122250,497.054009,183250.037541
0.122500,496.860727,183231.080024
0.122750,496.667602,183082.800304
0.123000,496.474496,183063.879947
0.123250,496.281548,182915.208938
0.123500,496.088619,182896.325709
0.123750,495.895848,182747.264519
0.124000,495.703096,182728.418387
0.124250,495.510502,182578.968126
0.124500,495.317928,182560.159059
0.124750,495.125512,182410.320840
0.125000,494.933116,182391.548807
0.125250,494.740879,182241.323747
0.125500,494.548661,182222.588716
0.125750,494.356602,182071.977934
0.126000,494.164562,182053.279874
0.126250,493.972682,181902.284493
0.126500,493.780822,181883.623372
0.126750,493.589121,181732.244516
0.127000,493.397440,181713.620302
0.127250,493.205919,181561.859100
0.127500,493.014418,181543.271761
0.127750,492.823077,181391.129345
0.128000,492.631756,181372.578849
0.128250,492.440595,181220.056353
0.128500,492.249454,181201.542667
0.128750,492.058475,181048.641228
0.129000,491.867515,181030.164321
0.129250,491.676716,180876.885078
0.129500,491.485937,180858.444917
0.129750,491.295321,180704.789014
0.130000,491.104723,180686.385567
0.130250,490.914288,180532.354150
0.130500,490.723872,180513.987383
0.130750,490.533620,180359.581600
0.131000,490.343386,180341.251482
0.131250,490.153316,180186.472483
0.131500,489.963265,180168.178982
0.131750,489.773378,180013.027922
0.132000,489.583510,179994.771004
0.132250,489.393807,179839.249041
0.132500,489.204122,179821.028673
0.132750,489.014602,179665.136965
0.133000,488.825101,179646.953116
0.133250,488.635765,179490.692826
0.133500,488.446447,179472.545461
0.133750,488.257296,179315.917754
0.134000,488.068163,179297.806841
0.134250,487.879196,179140.812884
0.134500,487.690248,179122.738390
0.134750,487.501466,178965.379355
0.135000,487.312703,178947.341246
0.135250,487.124106,178789.618306
0.135500,486.935528,178771.616549
0.135750,486.747118,178613.530879
0.136000,486.558726,178595.565442
0.136250,486.370501,178437.118220
0.136500,486.182295,178419.189068
0.136750,485.994257,178260.381476
0.137000,485.806237,178242.488576
0.137250,485.618385,178083.321797
0.137500,485.430553,178065.465116
0.137750,485.242888,177905.940337
0.138000,485.055242,177888.119841
0.138250,484.867765,177728.238250
0.138500,484.680307,177710.453905
0.138750,484.493018,177550.216694
0.139000,484.305747,177532.468467
0.139250,484.118646,177371.876830
0.139500,483.931564,177354.164686
0.139750,483.744651,177193.219819
0.140000,483.557757,177175.543725
0.140250,483.371033,177014.246827
0.140500,483.184328,176996.606749
0.140750,482.997793,176834.959021
0.141000,482.811277,176817.354924
0.141250,482.624932,176655.357571
0.141500,482.438605,176637.789422
0.141750,482.252449,176475.443649
0.142000,482.066312,176457.911414
0.142250,481.880347,176295.218430
0.142500,481.694400,176277.722074
0.142750,481.508625,176114.683090
0.143000,481.322868,176097.222579
0.143250,481.137284,175933.838810
0.143500,480.951718,175916.414108
0.143750,480.766325,175752.686769
0.144000,480.580950,175735.297843
0.144250,480.395749,175571.228153
0.144500,480.210565,175553.874968
0.144750,480.025555,175389.464147
0.145000,479.840564,175372.146668
0.145250,479.655746,175207.395939
0.145500,479.470946,175190.114132
0.145750,479.286320,175025.024720
0.146000,479.101713,175007.778550
0.146250,478.917280,174842.351683
0.146500,478.732865,174825.141115
0.146750,478.548626,174659.378022
0.147000,478.364404,174642.203022
0.147250,478.180357,174476.104936
0.147500,477.996329,174458.965468
0.147750,477.812476,174292.533622
0.148000,477.628641,174275.429652
0.148250,477.444982,174108.665284
0.148500,477.261341,174091.596775
0.148750,477.077877,173924.501123
0.149000,476.894430,173907.468042
0.149250,476.711160,173740.042347
0.149500,476.527908,173723.044657
0.149750,476.344832,173555.290162
0.150000,476.161775,173538.327828
0.150250,475.978895,173370.245780
0.150500,475.796033,173353.318766
0.150750,475.613349,173184.910410
0.151000,475.430682,173168.018682
0.151250,475.248193,172999.285269
0.151500,475.065722,172982.428790
0.151750,474.883430,172813.371571
0.152000,474.701155,172796.550306
0.152250,474.519059,172627.170535
0.152500,474.336980,172610.384449
0.152750,474.155081,172440.683381
0.153000,473.973199,172423.932437
0.153250,473.791496,172253.911330
0.153500,473.609812,172237.195493
0.153750,473.428307,172066.855608
0.154000,473.246819,172050.174841
0.154250,473.065512,171879.517438
0.154500,472.884222,171862.871707
0.154750,472.703112,171691.898051
0.155000,472.522020,171675.287318
0.155250,472.341108,171503.998674
0.155500,472.160215,171487.422904
0.155750,471.979502,171315.820540
0.156000,471.798806,171299.279696
0.156250,471.618292,171127.364882
0.156500,471.437795,171110.858929
0.156750,471.257480,170938.632936
0.157000,471.077183,170922.161837
0.157250,470.897067,170749.625939
0.157500,470.716969,170733.189657
0.157750,470.537053,170560.345130
0.158000,470.357154,170543.943629
0.158250,470.177438,170370.791748
0.158500,469.997739,170354.424992
0.158750,469.818224,170180.967038
0.159000,469.638725,170164.634990
0.159250,469.459410,169990.872243
0.159500,469.280112,169974.574867
0.159750,469.100997,169800.508610
0.160000,468.921900,169784.245868
0.160250,468.742987,169609.877386
0.160500,468.564090,169593.649241
0.160750,468.385378,169418.979820
0.161000,468.206683,169402.786237
0.161250,468.028173,169227.817164
0.161500,467.849680,169211.658105
0.161750,467.671371,169036.390671
0.162000,467.493080,169020.266100
0.162250,467.314974,168844.701595
0.162500,467.136884,168828.611474
0.162750,466.958981,168652.751192
0.163000,466.781094,168636.695485
0.163250,466.603393,168460.540720
0.163500,466.425709,168444.519389
0.163750,466.248211,168268.071439
0.164000,466.070730,168252.084447
0.164250,465.893435,168075.344609
0.164500,465.716157,168059.391919
0.164750,465.539066,167882.361493
0.165000,465.361992,167866.443068
0.165250,465.185105,167689.123355
0.165500,465.008234,167673.239157
0.165750,464.831551,167495.631461
0.166000,464.654884,167479.781452
0.166250,464.478406,167301.887077
0.166500,464.301944,167286.071220
0.166750,464.125669,167107.891473
0.167000,463.949412,167092.109730
0.167250,463.773343,166913.645918
0.167500,463.597290,166897.898252
0.167750,463.421426,166719.151683
0.168000,463.245578,166703.438057
0.168250,463.069920,166524.410043
0.168500,462.894278,166508.730418
0.168750,462.718825,166329.422271
0.169000,462.543388,166313.776609
0.169250,462.368141,166134.189642
0.169500,462.192911,166118.577907
0.169750,462.017870,165938.713435
0.170000,461.842845,165923.135588
0.170250,461.668011,165742.994928
0.170500,461.493193,165727.450930
0.170750,461.318565,165547.035400
0.171000,461.143954,165531.525215
0.171250,460.969533,165350.836133
0.171500,460.795129,165335.359722
0.171750,460.620915,165154.398410
0.172000,460.446718,165138.955734
0.172250,460.272712,164957.723514
0.172500,460.098722,164942.314536
0.172750,459.924924,164760.812730
0.173000,459.751142,164745.437411
0.173250,459.577552,164563.667346
0.173500,459.403977,164548.325647
0.173750,459.230595,164366.288647
0.174000,459.057229,164350.980531
0.174250,458.884056,164168.677924
0.174500,458.710898,164153.403352
0.174750,458.537933,163970.836467
0.175000,458.364984,163955.595400
0.175250,458.192228,163772.765566
0.175500,458.019488,163757.557966
0.175750,457.846941,163574.466514
0.176000,457.674410,163559.292343
0.176250,457.502073,163375.940604
0.176500,457.329751,163360.799823
0.176750,457.157623,163177.189132
0.177000,456.985511,163162.081702
0.177250,456.813593,162978.213393
0.177500,456.641691,162963.139276
0.177750,456.469983,162779.014684
0.178000,456.298292,162763.973840
0.178250,456.126794,162579.594304
0.178500,455.955312,162564.586694
0.178750,455.784026,162379.953550
0.179000,455.612754,162364.979137
0.179250,455.441678,162180.093724
0.179500,455.270618,162165.152467
0.179750,455.099753,161980.016126
0.180000,454.928904,161965.107987
0.180250,454.758250,161779.722059
0.180500,454.587612,161764.846999
0.180750,454.417170,161579.212826
0.181000,454.246743,161564.370805
0.181250,454.076513,161378.489731
0.181500,453.906298,161363.680710
0.181750,453.736280,161177.554078
0.182000,453.566277,161162.778019
0.182250,453.396470,160976.407175
0.182500,453.226679,160961.664038
0.182750,453.057086,160775.050327
0.183000,452.887507,160760.340073
0.183250,452.718126,160573.484844
0.183500,452.548760,160558.807432
0.183750,452.379592,160371.712033
0.184000,452.210438,160357.067425
0.184250,452.041483,160169.733204
0.184500,451.872543,160155.121360
0.184750,451.703801,159967.549668
0.185000,451.535074,159952.970549
0.185250,451.366546,159765.162736
0.185500,451.198032,159750.616301
0.185750,451.029717,159562.573719
0.186000,450.861418,159548.059930
0.186250,450.693317,159359.783932
0.186500,450.525231,159345.302749
0.186750,450.357344,159156.794687
0.187000,450.189472,159142.346070
0.187250,450.021800,158953.607299
0.187500,449.854142,158939.191208
0.187750,449.686684,158750.223084
0.188000,449.519241,158735.839478
0.188250,449.351998,158546.643356
0.188500,449.184770,158532.292197
0.188750,449.017742,158342.869433
0.189000,448.850728,158328.550680
0.189250,448.683915,158138.902631
0.189500,448.517117,158124.616245
0.189750,448.350519,157934.744270
0.190000,448.183936,157920.490210
0.190250,448.017554,157730.395667
0.190500,447.851187,157716.173894
0.190750,447.685020,157525.858142
0.191000,447.518869,157511.668615
0.191250,447.352918,157321.133015
0.191500,447.186983,157306.975693
0.191750,447.021248,157116.221606
0.192000,446.855529,157102.096450
0.192250,446.690011,156911.125236
0.192500,446.524507,156897.032205
0.192750,446.359206,156705.845226
0.193000,446.193919,156691.784281
0.193250,446.028834,156500.382899
0.193500,445.863764,156486.353999
0.193750,445.698897,156294.739578
0.194000,445.534043,156280.742683
0.194250,445.369393,156088.916586
0.194500,445.204757,156074.951654
0.194750,445.040323,155882.915246
0.195000,444.875904,155868.982238
0.195250,444.711688,155676.736883
0.195500,444.547487,155662.835758
0.195750,444.383489,155470.382821
0.196000,444.219505,155456.513539
0.196250,444.055725,155263.854386
0.196500,443.891959,155250.016905
0.196750,443.728397,155057.152902
0.197000,443.564849,155043.347183
0.197250,443.401505,154850.279696
0.197500,443.238175,154836.505697
0.197750,443.075049,154643.236094
0.198000,442.911938,154629.493775
0.198250,442.749031,154436.023423
0.198500,442.586138,154422.312743
0.198750,442.423449,154228.643010
0.199000,442.260775,154214.963927
0.199250,442.098306,154021.096181
0.199500,441.935851,154007.448656
0.199750,441.773600,153813.384266
0.200000,441.611364,153799.768256
0.200250,441.449333,153605.508591
0.200500,441.287316,153591.924056
0.200750,441.125505,153397.470484
0.201000,440.963707,153383.917384
0.201250,440.802115,153189.271276
0.201500,440.640538,153175.749568
0.201750,440.479165,152980.912293
0.202000,440.317807,152967.421938
0.202250,440.156655,152772.394866
0.202500,439.995517,152758.935821
0.202750,439.834585,152563.720323
0.203000,439.673667,152550.292548
0.203250,439.512955,152354.889993
0.203500,439.352257,152341.493447
0.203750,439.191765,152145.905207
0.204000,439.031288,152132.539848
0.204250,438.871017,151936.767294
0.204500,438.710760,151923.433081
0.204750,438.550710,151727.477584
0.205000,438.390674,151714.174476
0.205250,438.230845,151518.037407
0.205500,438.071030,151504.765363
0.205750,437.911422,151308.448093
0.206000,437.751828,151295.207071
0.206250,437.592441,151098.710972
0.206500,437.433068,151085.500931
0.206750,437.273903,150888.827375
0.207000,437.114751,150875.648272
0.207250,436.955807,150678.798632
0.207500,436.796877,150665.650427
0.207750,436.638155,150468.626073
0.208000,436.479447,150455.508724
0.208250,436.320946,150258.311028
0.208500,436.162460,150245.224494
0.208750,436.004182,150047.854829
0.209000,435.845917,150034.799067
0.209250,435.687861,149837.258805
0.209500,435.529818,149824.233775
0.209750,435.371984,149626.524287
0.210000,435.214164,149613.529946
0.210250,435.056553,149415.652605
0.210500,434.898955,149402.688912
0.210750,434.741566,149204.645090
0.211000,434.584191,149191.712002
0.211250,434.427025,148993.503071
0.211500,434.269872,148980.600548
0.211750,434.112929,148782.227879
0.212000,433.955999,148769.355877
0.212250,433.799279,148570.820843
0.212500,433.642572,148557.979322
0.212750,433.486075,148359.283294
0.213000,433.329592,148346.472211
0.213250,433.173318,148147.616561
0.213500,433.017057,148134.835875
0.213750,432.861007,147935.821973
0.214000,432.704970,147923.071642
0.214250,432.549143,147723.900861
0.214500,432.393330,147711.180842
0.214750,432.237726,147511.854552
0.215000,432.082136,147499.164805
0.215250,431.926757,147299.684377
0.215500,431.771391,147287.024858
0.215750,431.616236,147087.391663
0.216000,431.461093,147074.762331
0.216250,431.306162,146874.977740
0.216500,431.151244,146862.378552
0.216750,430.996537,146662.443935
0.217000,430.841843,146649.874849
0.217250,430.687360,146449.791576
0.217500,430.532890,146437.252549
0.217750,430.378632,146237.021991
0.218000,430.224386,146224.512982
